;prod_id;match;name;category;prod_similarity;price_web
0;15363;1;Palapa Vollkorntortilla 370g;Süßes & Salziges;0.8383450857985346;2.29
1;5603;1;Berief Bio Tofu Natur 2x200g;Fleisch & Fisch;0.8557386886335893;2.49
2;6099;1;Rügenwalder Mühle Hauchschnitt Curry Typ Hähnchen vegan 70g;Fleisch & Fisch;0.8094687165724022;1.59
3;13853;1;Honey Pomelo Pink 1 Stück;Obst & Gemüse;0.8863307297052343;2.99
4;1345;1;REWE Bio Naturland Dinkel Crunchy 500g;Brot, Cerealien & Aufstriche;0.8323087707401722;2.59
5;3863;0;Erasco Texas-Topf 800g;Fertiggerichte & Konserven;0.6939375486519841;3.29
6;9143;0;Braunes Packpapier 70x100cm 4 Stück;Haus & Freizeit;0.7675728231074938;1.99
7;1225;1;Pema Vitaminbrot 375g;Brot, Cerealien & Aufstriche;0.7917120805361266;1.89
8;3676;0;Bürger Nudelteig 500g;Fertiggerichte & Konserven;0.7280089801935948;3.49
9;4533;1;Maggi Asia Nudel Snack Ente 62g;Fertiggerichte & Konserven;0.7465865531240083;0.69
10;9165;9;Einweg-Grill 1 Stück;Haus & Freizeit;0.75215251556476;2.99
11;13779;1;Bio Banane ca. 200g;Obst & Gemüse;0.8542242588543347;0.4
12;7249;9;GWF Rotwein Frisch & Fruchtig trocken 0,75l;Getränke & Genussmittel;0.8044209082238962;4.29
13;14032;1;Zucchini grün ca. 220g;Obst & Gemüse;0.8771767622386762;0.66
14;13814;1;Champignons weiß 400g;Obst & Gemüse;0.7315328377060578;1.69
15;4024;9;Hak Rhabarberkompott 370ml;Fertiggerichte & Konserven;0.7616500874467419;1.79
16;856;1;Glockenbrot Krusti Brötchen;Brot, Cerealien & Aufstriche;0.828998639069395;0.69
17;1273;1;REWE Beste Wahl Mehrkornschnitte 500g;Brot, Cerealien & Aufstriche;0.7771660771043153;1.89
18;5548;1;ja! Weizen Tortillas 372g;Fertiggerichte & Konserven;0.8416961862562933;1.29
19;13853;1;Honey Pomelo Pink 1 Stück;Obst & Gemüse;0.8863307297052343;2.99
20;13874;1;Lauchzwiebeln im Bund;Obst & Gemüse;0.830173199021196;0.99
21;13811;1;Broccoli 500g;Obst & Gemüse;0.751818459420992;1.79
22;13824;1;Eisbergsalat 1 Stück;Obst & Gemüse;0.9054089485051944;1.19
23;13992;1;Rucola 125g;Obst & Gemüse;0.7807686815326363;0.99
24;13902;1;Porree 1 Stück;Obst & Gemüse;0.8563431994036167;0.79
25;13816;1;Cherry Romatomaten 250g;Obst & Gemüse;0.8149281304022573;0.99
26;13971;1;REWE Regional Gurke 1 Stück;Obst & Gemüse;0.8089919939483314;1.29
27;13897;1;Paprika rot ca. 250g;Obst & Gemüse;0.8678914266524476;1.0
28;11504;1;Bio Eier frisch 10 Stück;Käse, Eier & Molkerei;0.794776193148502;3.29
29;16409;1;Gustavo Gusto Pizza Margherita 410g;Tiefkühlkost;0.8440695166327783;3.49
30;9491;9;Bünting Tee Bio-Fenchel-Anis-Kümmel 60g, 20 Beutel;Kaffee, Tee & Kakao;0.6569947102481598;2.69
31;9143;0;Braunes Packpapier 70x100cm 4 Stück;Haus & Freizeit;0.7675728231074938;1.99
32;11514;0;Brunch Brotaufstrich Balance 185g;Käse, Eier & Molkerei;0.7827410925298599;1.89
33;1198;1;Nutella 450g;Brot, Cerealien & Aufstriche;0.8053735852377644;3.29
34;8099;1;Original Turmbräu Export Preimium Bier 0,5l;Getränke & Genussmittel;0.7407007693974332;0.55
35;8181;9;Pfanner Eistee Pfirsich 0,33l;Getränke & Genussmittel;0.7819087757315919;1.29
36;9586;1;Jacobs Filterkaffee Auslese Mild und Sanft 500g;Kaffee, Tee & Kakao;0.8099027240707938;5.49
37;13516;1;Vileda Schwammtuch 5 Stück;Küche & Haushalt;0.7953524413489015;2.29
38;1457;1;Schnitzer Bio Baguette Classic glutenfrei 360g;Brot, Cerealien & Aufstriche;0.7871435573180989;4.39
39;4968;1;REWE Beste Wahl Maiskölbchen 190g;Fertiggerichte & Konserven;0.7840859109971056;1.29
40;6751;1;Bitburger Pils 0,5l;Getränke & Genussmittel;0.8225029789894642;0.95
