,product_abbr,price,receipt_id,date
0,Bananen ,1.63,Penny_1.jpg,2024-02-12
1,BUTTERSCHINKEN ,2.52,Penny_1.jpg,2024-02-12
2,WACHOLDERSCHINKE ,2.12,Penny_1.jpg,2024-02-12
3,GRUYERE SCHEIBEN ,3.29,Penny_1.jpg,2024-02-12
4,Ger amont Scheibe ,3.29,Penny_1.jpg,2024-02-12
5,MOZZ . DI BUFALA ,1.99,Penny_1.jpg,2024-02-12
6,ALTENBURGER FK ,2.59,Penny_1.jpg,2024-02-12
7,Karottenkrüstch ,0.98,Penny_1.jpg,2024-02-12
8,Chia - Weltm . Bröt ,0.9,Penny_1.jpg,2024-02-12
9,BRUNCHMIX ,1.29,Penny_1.jpg,2024-02-12
10,VEG . SPICKER ,1.59,Penny_1.jpg,2024-02-12
11,Mini Cherryrispe ,2.99,Penny_1.jpg,2024-02-12
12,Snacktomaten Mix ,1.99,Penny_1.jpg,2024-02-12
13,Paprika rot ,1.89,Penny_1.jpg,2024-02-12
14,Bio Champ . braun ,2.19,Penny_1.jpg,2024-02-12
15,Petersilie glatt ,0.99,Penny_1.jpg,2024-02-12
16,Koriander ,0.99,Penny_1.jpg,2024-02-12
17,Schnittlauch ,0.99,Penny_1.jpg,2024-02-12
18,BIO EIER 6ER ,2.49,Penny_1.jpg,2024-02-12
19,LAEKKERGARDEN UN ,1.49,Penny_1.jpg,2024-02-12
20,"BIO MILCH 3,8 % ",1.25,Penny_1.jpg,2024-02-12
21,"BIO NATURJO . 1,8 % ",1.15,Penny_1.jpg,2024-02-12
22,Naturgut Lachs ,7.99,Penny_1.jpg,2024-02-12
23,Naturgut Garnele ,4.29,Penny_1.jpg,2024-02-12
24,Penny Spaghetti ,1.58,Penny_1.jpg,2024-02-12
25,Granola Bits ,2.79,Penny_1.jpg,2024-02-12
26,PENNY PASS TOMAT ,1.58,Penny_1.jpg,2024-02-12
27,MEDIUM BREZELN ,0.99,Penny_1.jpg,2024-02-12
28,Naturgut Ahren ,1.59,Penny_1.jpg,2024-02-12
29,Covo Karamellwaf ,2.99,Penny_1.jpg,2024-02-12
30,REXONA ROLL - ON ,2.45,Penny_1.jpg,2024-02-12
31,PENNY Mullbtl ,0.65,Penny_1.jpg,2024-02-12
32,LEERGUT EINWEG ,0.25,Penny_1.jpg,2024-02-12
33,LEERGUT EINWEG ,-4.0,Penny_1.jpg,2024-02-12
34,FRISCHKAESE NAT ,1.49,Penny_2.jpg,2024-02-08
35,Dink . -Kürbisbrot ,4.2,Penny_2.jpg,2024-02-08
36,Chia - Weltm . Bröt ,1.8,Penny_2.jpg,2024-02-08
37,Avocado Stück ,0.99,Penny_2.jpg,2024-02-08
38,ZAHNCR KOMPLETT ,2.38,Penny_2.jpg,2024-02-08
39,Zucchini ,0.92,Penny_3.jpg,2024-01-31
40,Banane Bio ,1.44,Penny_3.jpg,2024-01-31
41,Bio Ingwer ,0.51,Penny_3.jpg,2024-01-31
42,WACHOLDERSCHINKE ,2.19,Penny_3.jpg,2024-01-31
43,GRUYERE SCHEIBEN ,3.29,Penny_3.jpg,2024-01-31
44,Lindenhof Ziegen ,2.39,Penny_3.jpg,2024-01-31
45,Lindenhof Gouda ,2.99,Penny_3.jpg,2024-01-31
46,BIO FETA 45 % ,4.18,Penny_3.jpg,2024-01-31
47,BUEFFELMOZZARELL ,1.99,Penny_3.jpg,2024-01-31
48,FRISCHKAESE NAT ,1.49,Penny_3.jpg,2024-01-31
49,BRESSO KR . PROV ,2.29,Penny_3.jpg,2024-01-31
50,San Fabio Grana ,3.29,Penny_3.jpg,2024-01-31
51,Dink . -Kürbisbrot ,4.2,Penny_3.jpg,2024-01-31
52,BRUNCHMIX ,1.29,Penny_3.jpg,2024-01-31
53,HUMMUS NATUR ,0.99,Penny_3.jpg,2024-01-31
54,GNOCCHI ,1.99,Penny_3.jpg,2024-01-31
55,VEG . SP . SCHNITTL ,1.59,Penny_3.jpg,2024-01-31
56,BIO RAEUCHERTOFU ,2.19,Penny_3.jpg,2024-01-31
57,Mandarinen ,2.49,Penny_3.jpg,2024-01-31
58,Apfel rot reg ,2.49,Penny_3.jpg,2024-01-31
