receipt;product_abbr;price
1;VOLLKORNTORTILLA ;2,58
1;TOFU NATUR;4,38
1;HAUCHSCHN CURRY;3,18
1;HONEYPOMELO PINK;2,99
1;DINKEL-CRUNCHY;2,59
1;TARTEX SC TOSKA;2,69
1;AUFSTRICH PAP.ZU;2,38
1;BROT VITAL GF;5,98
1;INST.NUDELGER.HU;2,07
1;INST.NUDELG.ENTE;1,38
1;LEERGUT EINWEG;-0,25
2;BANANE;2,06
2;ROTE BEETE FRISCH;0,48
2;ZUCCHINI GRUEN;1,78
2;CHAMP. WEISS;1,99
2;Rabatt 30%;-0,60
2;KRUSTENBROT;0,76
2;WELTM.-MEHRKORN;1,99
2;TORTILLA WEIZEN;2,98
2;HONEYPOMELO PINK;2,29
2;ZWIEBEL LAUCH;0,95
2;BROCCOLI NEUTRAL;2,78
2;EISBERGSALAT;0,89
2;RUCOLA;1,19
2;PORREE;0,79
2;CHERRYROMATOMATE;0,99
2;GURKE MINI;0,59
2;PAPRIKA ROT;1,89
2;BIO EIER OKT;3,19
2;PIZZA MARGHERITA;2,79
2;BUD & TERENCE;4,69
2;AUFSTRICH PAP.ZU;1,35
2;BROTAUFSTRICH ME;2,49
2;NUTELL;4,59
2;STERNB. EXPORT;7,49
2;PFAND 3,10 EUR;3,10
2;AUSLESE MILD;3,77
2;SCHWAMMTUCH;1,90
3;BROT CLASSIC GF;6,38
3;MAISKOELBCHEN;8,97
3;BITBURGER GLUTEN;12,58
3;PFAND 0,48 EUR;0,96
3;LAMMSBRAEU GLUTE;5,56
3;PFAND 0,08 EUR;0,32
4;KRUSTENBROT;0,63
4;Rabatt 30%;-0,19
4;KARTOFFELBROT;1,01
4;Rabatt 30%;-0,30
4;KUERBISKERNBROT;1,07
4;Rabatt 30%;-0,32
4;WELTMEISTERBROT;1,07
4;Rabatt 30%;-0,32
4;CIABATTA PICCOLA;2,99
4;Rabatt 30%;-0,90
4;VEGANE TEEWURST;1,99
4;Rabatt 30%;-0,60
4;GENUSS SCHEIBEN;3,87
4;GRANATAPEL;1,49
4;SALATGURKE;1,09
4;MARGARINE;3,87
4;JA! WEIZENMEHL;0,65
4;DINKELMEHL;1,49
4;SPEISESTAERKE;1,29
4;BROT CLASSIC GF;6,38
4;PILSENER JEVER;11,99
4;PFAND 3,10 EUR;3,10
4;PUEBLO BLUE;5,95
4;LEERG. MW V. ST;-1,50
4;LEERG. MW V. ST;-1,60
4;LEERG. MW V. ST;-1,50
4;LEERG. MW V. ST;-1,60
4;LEERG. MW V. ST;-1,60
4;LEERG. MW V. ST;-1,50
5;RBW APFELESSIG;5,16
6;VEGANE SALAMI;4,77
6;Rabatt 30%;-1,44
6;VEG POMMERSCHE;1,49
6;Rabatt 30%;-0,45
6;BIO DINKEL WRAPS;1,99
6;GENUSS SCHEIBEN;2,58
6;VEG. SPICKER;1,59
6;VEG.SP. SCHNITTL;1,59
6;GRANATAPEL;1,89
6;BRATPAPRIKA;1,59
6;CHIANTI DOCG;2,99
6;WERNESGR. PILS;0,95
6;PFAND 0,08 EUR;0,08
6;MUENCHNER HELL;0,99
6;PFAND 0,08 EUR;0,08
6;FANTA LEMON;1,19
6;PFAND 0,25 EURO;0,25
7;VKORN SONNENBATZ;2,19
7;GENUSS SCHEIBEN;2,58
7;POMELO HONEY;4,58
7;BIO MARGARINE;3,58
7;DINKEL-CRUNCHY;2,59
7;AUFSTRICH PAP.ZU;4,05
8;C. MARINA 14;7,49
8;OBLATEN;1,99
9;SKYR STYLE VAN.;1,99
9;SAHNEPUD.SCHOKO;2,49
9;COCA COLA PET;1,39
9;PFAND 0,15 EUR;0,15
9;SODA CO2 FUELL B;31,96
10;SOJAGURT NATUR;2,78
10;CREME VEGA;1,29
10;BITBURGER PILS;10,49
10;PFAND 3,10 EUR;3,10
11;TOFU NATUR;6,57
11;GENUSS SCHEIBEN;1,29
12;RISPENTOMATE;2,26
12;GEHACKTES 2.0;2,49
12;Rabatt 30%;-0,75
12;BIO FETA 45%;2,79
12;FETA PDO LAKT-FR;2,19
12;FLADENBROT;1,89
12;KRAUTSALAT;2,19
12;KNOBLAUCHOLIVEN;2,99
12;GRIE. PFEFFERON.;2,18
12;CURLY WURLY;1,77
12;PUEBLO BLUE;5,95
13;ANZUENDWUERFEL;3,78
14;RAUECHERTOFU;2,19
14;TOFU NATUR;2,19
14;KOHLRABI;0,79
14;CHAMP. WEISS;1,99
14;KORIANDER;1,98
14;THI. REISNUDELN;4,98
14;REISPAPIER;3,19
14;URKROSTITZ PILS;14,49
14;PFAND 3,10 EUR;3,10
14;RR. 1 RITEX;5,99
15;KRUSTENBROT;1,49
15;CHAMP. WEISS;1,99
15;KRAEUTER;1,69
15;RISOTTOREIS;4,58
15;ZIMTSTERNE DOPPELKEKS GF;4,49
15;LAYS SALT&VINEG.;2,99
15;WERNESGR. ALKFR;1,99
15;WERNESGR. ALKFR;11,40
15;PFAND 0,08 EUR;0,96
15;MUELLSACK 60L;3,99
15;KASTEN LEER;1,50
